;LINHA;Poste_qtd;qtd_trafo;Ramal_servico_qtd;Ramal_servico_km;REDE_MT_KM
105;LDA FERNANDA;686;77.0;2305.0;30501.0;9218.0
106;LDA FERNANDES;221;14.0;252.0;4991.0;5755.0
107;LDA FLORENCA;940;56.0;1595.0;21585.0;18705.0
108;LDA FOME;407;38.0;1531.0;21384.0;7461.0
109;LDA FORGANE;121;0.0;0.0;0.0;3181.0
110;LDA FORTUNATO;890;82.0;4090.0;64445.0;10488.0
111;LDA FORUM;269;44.0;929.0;13289.0;4880.0
112;LDA FRANCIGENIO;224;30.0;345.0;4617.0;2915.0
113;LDA FROLICK;0;44.0;807.0;10878.0;3660.0
114;LDA GADOBAN;1382;147.0;3930.0;59057.0;29419.0
115;LDA GARIBALDI;221;41.0;295.0;3741.0;2571.0
116;LDA GENARO;338;55.0;424.0;6713.0;5503.0
117;LDA GENEMITRE;380;56.0;1148.0;16221.0;7418.0
118;LDA GENIPABU;234;25.0;369.0;5637.0;3059.0
119;LDA GEORGIA;862;68.0;3361.0;48007.0;13160.0
120;LDA GEVARGAS;277;55.0;1165.0;15267.0;4612.0
121;LDA GIBRAN;0;1.0;1.0;9.0;2831.0
122;LDA GOIANA;217;34.0;565.0;8225.0;2950.0
123;LDA GRABOIS;219;30.0;523.0;9421.0;5263.0
124;LDA GRAUNA;931;84.0;706.0;9961.0;37155.0
125;LDA GROTAFUNDA;221;16.0;480.0;6886.0;5286.0
126;LDA GUADALAJARA;350;75.0;2079.0;30607.0;6909.0
